Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;16.03053;y=;6.6259
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;20.3074;y=;0.9773293
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;21.72278;y=;7.488632
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.73637;y=;-0.626133
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;23.96715;y=;8.32655
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
