Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;12.05993;y=;10.74276
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.476841;y=;3.324585
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.54728;y=;21.98497
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;29.82214;y=;4.45845
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;15.10936;y=;10.4067
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;16.03053;y=;6.6259
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;20.3074;y=;0.9773293
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;21.72278;y=;7.488632
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.73637;y=;-0.626133
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;23.96715;y=;8.32655
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;10.13807;y=;9.357929
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.2435837;y=;4.224716
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32.98222;y=;8.78936
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.356441;y=;9.21331
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.71796;y=;-29.98853
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;8.98642;y=;7.6171
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.96938;y=;-21.7995
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;6.03714;y=;9.909145
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;18.68848;y=;-1.535622
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;10.23928;y=;5.7808
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.6;y=;21.9
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;8.084454;y=;8.831779
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;10.22822;y=;3.141651
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.187115;y=;5.981857
