Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.600002;y=;0.7999992
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;12.10934;y=;8.690662
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-27.70249;y=;22.03416
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-17.70867
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-28.8;y=;22.4
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;33.91662;y=;-31.68338
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;11.83655;y=;9.763447
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-13.28461;y=;-25.9154
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-12.8;y=;4.017132
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;33.6;y=;8.878231
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.01807;y=;-24
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.600002;y=;-2.565128
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;27.69;y=;-25.05
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-28.8;y=;22.4
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8.336653;y=;-24
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0;y=;11.71367
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;13.6;y=;7.200001
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-29.07403;y=;22.4
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.600002;y=;0.991272
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;29.88213;y=;0
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-26.61799;y=;22.4
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.16061;y=;-27.43939
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;6.613831;y=;7.41383
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.742239;y=;8.942234
35;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.20132;y=;-29.80132
36;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-33.6
37;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.6;y=;-30.15
38;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-24.21735;y=;20
39;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.56417;y=;-4.799999
40;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
41;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;27.69;y=;-25.05
42;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
43;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
44;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-28.8;y=;0.3297081
45;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.599998;y=;5.600002
46;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
47;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.8;y=;-26.4
48;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.60001;y=;21.9
49;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-7.70174
50;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.68971;y=;-26.11028
51;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-13.1122;y=;-27.84411
52;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-29.05824;y=;22.4
53;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
54;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-7.200001;y=;0.385479
55;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;6.400002;y=;1.832813
56;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;40;y=;-21.6
